ID,Card,Rarity,Pack,Aidan,Action,,Megan,Action,,AJ,Action,,Roan,Action,,Abby,Action
173,Golbat,2d,GA,2,0,,1,0,,1,0,,0,0,,0,0
174,Grimer,1d,GA,3,1,,2,1,,1,0,,0,0,,0,0
175,Muk,3d,GA,0,0,,1,0,,0,0,,0,0,,0,0
176,Koffing,1d,GA,5,3,,3,1,,1,0,,0,0,,0,0
177,Weezing,3d,GA,2,0,,0,0,,0,0,,0,0,,0,0
178,Mawile,1d,GA,3,1,,0,0,,4,2,,0,0,,1,0
179,Pawniard,1d,GA,5,3,,7,5,,7,5,,0,0,,2,0
180,Bisharp,2d,GA,5,3,,8,6,,3,1,,0,0,,0,0
181,Meltan,1d,GA,4,2,,2,1,,0,0,,0,0,,0,0
182,Melmetal,3d,GA,1,0,,1,0,,1,0,,0,0,,0,0
183,Dratini,1d,GA,3,1,,3,1,,0,0,,0,0,,1,0
184,Dragonair,2d,GA,2,0,,3,1,,2,0,,0,0,,0,0
185,Dragonite,3d,GA,2,0,,0,,,2,0,,0,0,,2,0
186,Pidgey,1d,GA,5,3,,3,1,,1,0,,0,0,,2,0
187,Pidgeotto,1d,GA,2,0,,3,1,,1,0,,0,0,,0,0
188,Pidgeot,3d,GA,1,0,,3,1,,1,0,,0,0,,0,0
189,Rattata,1d,GA,8,6,,10,8,,4,2,,0,0,,2,0
190,Raticate,1d,GA,4,2,,7,5,,4,2,,0,0,,1,0
191,Spearow,1d,GA,2,0,,2,1,,0,0,,0,0,,0,0
192,Fearow,1d,GA,2,0,,4,2,,3,1,,0,0,,0,0
193,Jigglypuff,1d,GA,6,4,,3,1,,3,1,,0,0,,1,0
194,Wigglytuff,1d,GA,7,5,,3,1,,2,0,,0,0,,0,0
195,Wigglytuff ex,4d,GA,3,1,,1,0,,1,0,,0,0,,0,0
196,Meowth,1d,GA,4,2,,3,1,,2,0,,0,0,,0,0
197,Persian,2d,GA,4,2,,1,0,,1,0,,0,0,,0,0
198,Farfetch'd,1d,GA,3,1,,4,2,,2,0,,0,0,,1,0
199,Doduo,1d,GA,9,7,,7,4,,7,5,,0,0,,0,0
200,Dodrio,2d,GA,3,1,,3,1,,3,1,,0,0,,0,0
201,Lickitung,2d,GA,4,2,,4,2,,1,0,,0,0,,0,0
202,Chansey,2d,GA,2,0,,0,0,,3,1,,0,0,,0,0
203,Kangaskhan,3d,GA,0,0,,0,0,,0,0,,0,0,,0,0
204,Tauros,2d,GA,3,1,,3,1,,2,0,,0,0,,0,0
205,Ditto,3d,GA,1,0,,1,0,,0,0,,0,0,,0,0
206,Eevee,1d,GA,3,1,,3,1,,4,2,,0,0,,1,0
207,Eevee,1d,GA,3,1,,3,1,,2,0,,0,0,,2,0
208,Eevee,1d,GA,6,4,,0,0,,3,1,,0,0,,0,0
209,Porygon,2d,GA,1,0,,0,0,,0,0,,0,0,,0,0
210,Aerodactyl,3d,GA,0,0,,0,0,,2,0,,0,0,,0,0
211,Snorlax,3d,GA,1,0,,2,1,,0,0,,0,0,,0,0
212,Minccino,1d,GA,5,3,,10,8,,6,4,,0,0,,0,0
213,Cinccino,2d,GA,9,7,,10,8,,7,5,,0,0,,0,0
214,Wooloo,1d,GA,5,3,,4,2,,3,1,,0,0,,2,0
215,Dubwoool,1d,GA,7,5,,7,5,,3,1,,0,0,,1,0
